[2023-02-16 00:46:37]	,LuaContext::ResearchChooser, 13.79 ms
[2023-02-16 00:46:37]	,SerialEvent::GameCoreEventPublishComplete, 13.83 ms
[2023-02-16 00:46:37]	,----- FRAME: 26984 time: 28.35ms Moving avg: 5.01ms 431 frames since last 
[2023-02-16 00:46:42]	,UIManager_ProcessInput, 16.58 ms
[2023-02-16 00:46:42]	,----- FRAME: 28084 time: 3.72ms Moving avg: 4.25ms 1101 frames since last 
[2023-02-16 00:46:44]	,LuaContext::WorldTracker, 6.75 ms
[2023-02-16 00:46:44]	,GameCoreEvent::ResearchChanged, 7.43 ms
[2023-02-16 00:46:44]	,LuaContext::ResearchChooser, 13.96 ms
[2023-02-16 00:46:44]	,SerialEvent::GameCoreEventPublishComplete, 14.00 ms
[2023-02-16 00:46:44]	,----- FRAME: 28668 time: 26.74ms Moving avg: 4.73ms 585 frames since last 
[2023-02-16 00:46:50]	,UIManager_ProcessInput, 15.46 ms
[2023-02-16 00:46:50]	,----- FRAME: 29993 time: 3.33ms Moving avg: 4.43ms 1326 frames since last 
[2023-02-16 00:46:52]	,LuaContext::WorldTracker, 5.15 ms
[2023-02-16 00:46:52]	,GameCoreEvent::ResearchChanged, 5.69 ms
[2023-02-16 00:46:52]	,LuaContext::ResearchChooser, 13.60 ms
[2023-02-16 00:46:52]	,SerialEvent::GameCoreEventPublishComplete, 13.73 ms
[2023-02-16 00:46:52]	,----- FRAME: 30397 time: 23.37ms Moving avg: 5.25ms 405 frames since last 
[2023-02-16 00:48:07]	,LuaContext::WorldViewIconsManager, 45.52 ms
[2023-02-16 00:48:07]	,GameCoreEvent::PlotVisibilityChanged, 45.59 ms
[2023-02-16 00:48:07]	,Civ6App_PublishGameCoreEvents, 50.13 ms
[2023-02-16 00:48:07]	,----- FRAME: 47000 time: 56.36ms Moving avg: 5.52ms 16604 frames since last 
[2023-02-16 00:48:37]	,SerialEvent::PreTurnBegin, 185.33 ms
[2023-02-16 00:48:37]	,----- FRAME: 53847 time: 4.67ms Moving avg: 4.90ms 6848 frames since last 
[2023-02-16 00:48:38]	,LuaContext::WorldTracker, 5.32 ms
[2023-02-16 00:48:38]	,SerialEvent::GameCoreEventPublishComplete, 5.36 ms
[2023-02-16 00:48:38]	,----- FRAME: 53949 time: 34.40ms Moving avg: 5.00ms 103 frames since last 
[2023-02-16 00:49:19]	,SerialEvent::PreTurnBegin, 181.58 ms
[2023-02-16 00:49:19]	,----- FRAME: 62863 time: 6.01ms Moving avg: 4.94ms 8915 frames since last 
[2023-02-16 00:49:21]	,GameCoreEvent::UnitVisibilityChanged, 10.53 ms
[2023-02-16 00:49:21]	,Civ6App_PublishGameCoreEvents, 38.72 ms
[2023-02-16 00:49:21]	,LuaContext::WorldTracker, 5.36 ms
[2023-02-16 00:49:21]	,SerialEvent::GameCoreEventPublishComplete, 5.39 ms
[2023-02-16 00:49:21]	,----- FRAME: 63274 time: 80.99ms Moving avg: 5.49ms 412 frames since last 
[2023-02-16 00:49:22]	,UIManager_ProcessInput, 13.89 ms
[2023-02-16 00:49:22]	,----- FRAME: 63425 time: 5.14ms Moving avg: 4.49ms 152 frames since last 
[2023-02-16 00:49:39]	,LuaContext::InGameTopOptionsMenu, 12.44 ms
[2023-02-16 00:49:39]	,LocalMachineEvent::UserRequestClose, 13.46 ms
[2023-02-16 00:49:39]	,----- FRAME: 67183 time: 23.12ms Moving avg: 4.78ms 3759 frames since last 
[2023-02-16 00:49:40]	,LuaContext::InGameTopOptionsMenu, 11.78 ms
[2023-02-16 00:49:40]	,GameCoreEvent::PlayerTurnDeactivated, 11.83 ms
[2023-02-16 00:49:40]	,----- FRAME: 67276 time: 17.95ms Moving avg: 5.15ms 94 frames since last 
[2023-02-16 00:49:42]	, ****GameViewState End****
[2023-02-16 00:49:45]	,Civ6App_HandleGameStateSwap, 3430.21 ms
[2023-02-16 00:49:45]	,----- FRAME: 67742 time: 3436.35ms Moving avg: 58.67ms 467 frames since last 
